Position,Artist Name,Song Name,Days Song Released,Top 10 (xTimes),Peak Position,Number of times in Peak Position,Peak Streams,Total Streams,Total of all streams,Percentage of Total streams,,,
52,Harry Styles ,As It Was,273,203,1,40,5953134,348668080,2.02936E+11,0.171811871,,,
53,Ed Sheeran ,Shape of You,618,96,1,48,2156546,348283656,2.02936E+11,0.17162244,,,
54,Ariana Grande ,7 rings,559,72,1,34,3961641,332694161,2.02936E+11,0.163940462,,,
55,Billie Eilish ,when the party's over,787,9,5,0,1592762,331192577,2.02936E+11,0.163200532,,,
56,Kendrick Lamar ,LOVE. FEAT. ZACARI.,814,25,5,0,2063209,329243971,2.02936E+11,0.162240325,,,
57,Cardi B ,I Like It,548,98,2,1,1636133,329059657,2.02936E+11,0.162149501,,,
58,Lizzo ,Truth Hurts,535,161,2,3,1400026,321459791,2.02936E+11,0.158404544,,,
59,Halsey ,Without Me,617,113,5,0,1345243,320826979,2.02936E+11,0.158092715,,,
60,Logic ,18002738255,590,111,1,10,1559318,320245347,2.02936E+11,0.157806107,,,
61,Bebe Rexha ,Meant to Be,801,0,15,0,787868,318478528,2.02936E+11,0.156935478,,,
62,Ariana Grande ,"thank u, next",463,93,1,42,4190968,317987550,2.02936E+11,0.15669354,,,
63,BlocBoy JB ,Look Alive,495,98,2,4,1802950,316629241,2.02936E+11,0.156024212,,,
64,Marshmello ,Happier,650,28,5,0,1201728,316018345,2.02936E+11,0.155723183,,,
65,James Arthur ,Say You Won't Let Go,1083,0,14,0,664830,315132103,2.02936E+11,0.155286472,,,
66,Arizona Zervas ,ROXANNE,536,123,1,23,1676128,314843202,2.02936E+11,0.155144112,,,
67,24kGoldn ,Mood,547,165,1,2,1633022,314504480,2.02936E+11,0.154977201,,,
68,Drake ,Nice For What,467,93,1,32,3183067,313324663,2.02936E+11,0.154395827,,,
69,blackbear ,hot girl bummer,742,45,5,0,1032214,312411378,2.02936E+11,0.153945791,,,
70,Mariah Carey ,All I Want for Christmas Is You,426,162,1,15,3987998,312323662,2.02936E+11,0.153902567,,,
71,benny blanco ,Eastside,672,15,7,0,1071306,308890413,2.02936E+11,0.152210778,,,
72,Juice WRLD ,Bandit,670,97,2,4,1749825,307048160,2.02936E+11,0.151302978,,,
73,Future ,Life Is Good,601,57,2,33,2873235,305783118,2.02936E+11,0.150679608,,,
74,YNW Melly ,Murder On My Mind,771,43,4,0,1483131,305306060,2.02936E+11,0.15044453,,,
75,Olivia Rodrigo ,deja vu,562,106,2,20,2794828,304638969,2.02936E+11,0.15011581,,,
76,Polo G ,RAPSTAR,519,84,1,22,2691084,299470033,2.02936E+11,0.147568733,,,
77,Luke Combs ,Beautiful Crazy,1123,0,54,0,435905,298483119,2.02936E+11,0.147082415,,,
78,21 Savage ,Bank Account,553,139,1,20,1320772,298320136,2.02936E+11,0.147002102,,,
79,Drake ,Wants and Needs,645,25,2,10,3489465,297154583,2.02936E+11,0.146427757,,,
80,Cardi B ,WAP,417,112,1,64,3030510,296670667,2.02936E+11,0.146189299,,,
81,Travis Scott ,HIGHEST IN THE ROOM,602,69,1,21,3939490,295198938,2.02936E+11,0.145464081,,,
82,Lil Tecca ,Ransom,465,110,1,26,1833927,292578295,2.02936E+11,0.144172716,,,
83,Sheck Wes ,Mo Bamba,421,115,1,7,1709407,289673118,2.02936E+11,0.142741143,,,
84,Post Malone ,White Iverson,1069,45,7,0,613541,288882157,2.02936E+11,0.142351384,,,
85,Drake ,In My Feelings,348,83,1,37,4805299,288633458,2.02936E+11,0.142228834,,,
86,Lil Nas X ,MONTERO (Call Me By Your Name),410,123,1,11,2378862,288187067,2.02936E+11,0.142008867,,,
87,French Montana ,Unforgettable,501,136,1,7,1275953,287042302,2.02936E+11,0.141444766,,,
88,Drake ,Nonstop,478,69,1,7,5749019,286786239,2.02936E+11,0.141318587,,,
89,Post Malone ,Candy Paint,717,42,4,0,1836069,286217712,2.02936E+11,0.141038436,,,
90,DRAM ,Broccoli,646,141,3,16,1079595,285106532,2.02936E+11,0.140490884,,,
91,Dua Lipa ,Don't Start Now,646,47,4,0,1220899,284754771,2.02936E+11,0.140317548,,,
92,Juice WRLD ,Come & Go,644,73,1,4,3220828,280531842,2.02936E+11,0.138236631,,,
93,Juice WRLD ,Wishing Well,625,65,1,6,2817191,277821416,2.02936E+11,0.136901024,,,
94,DaBaby ,BOP,622,76,1,1,1601147,277705797,2.02936E+11,0.136844051,,,
95,Lil Uzi Vert ,20 Min,1012,0,45,0,401156,277454899,2.02936E+11,0.136720417,,,
96,Travis Scott ,BUTTERFLY EFFECT,682,18,9,0,1568959,276763296,2.02936E+11,0.136379618,,,
97,Brenda Lee ,Rockin' Around The Christmas Tree,340,113,1,30,5771662,276529912,2.02936E+11,0.136264615,,,
98,Drake ,Knife Talk,471,91,2,3,3908883,275693546,2.02936E+11,0.135852482,,,
99,Pop Smoke ,For The Night,512,116,2,2,1450903,274720487,2.02936E+11,0.135372991,,,
100,Drake ,Fake Love,525,121,1,15,1527349,274318587,2.02936E+11,0.135174948,,,
101,Internet Money ,Lemonade,517,138,1,11,1437460,273391855,2.02936E+11,0.134718286,,,
102,Tyga ,Taste,486,54,3,1,1484893,272293130,2.02936E+11,0.134176871,,,
103,Future ,Mask Off,441,107,2,29,1768762,271944410,2.02936E+11,0.134005034,,,
104,Olivia Rodrigo ,traitor,522,56,3,15,2709147,271379624,2.02936E+11,0.133726726,,,
105,DaBaby ,Suge,516,51,3,4,1224726,270915921,2.02936E+11,0.133498229,,,
106,SZA ,Good Days,604,83,1,3,1387122,270125295,2.02936E+11,0.133108635,,,
107,Doja Cat ,Need To Know,460,72,3,3,1245936,268475081,2.02936E+11,0.132295466,,,
108,Drake ,Money In The Grave (Drake ft. Rick Ross),467,79,1,6,2024475,265919957,2.02936E+11,0.131036387,,,
109,Mustard ,Ballin',656,4,10,0,986414,265117682,2.02936E+11,0.130641053,,,
110,Bryson Tiller ,Don't,1008,37,7,0,649135,264444220,2.02936E+11,0.130309193,,,
111,Harry Styles ,Adore You,633,18,1,1,1809594,264055553,2.02936E+11,0.130117671,,,
112,Imagine Dragons ,Believer,745,5,9,0,898836,263375966,2.02936E+11,0.129782794,,,
113,Lauv ,I Like Me Better,930,0,30,0,571396,263177728,2.02936E+11,0.129685109,,,
114,Migos ,Bad and Boujee,491,98,1,32,1816754,262086852,2.02936E+11,0.129147562,,,
115,KYLE ,iSpy,512,106,2,8,1336415,262041081,2.02936E+11,0.129125007,,,
116,Luis Fonsi ,Despacito  Remix,344,125,1,47,2129981,260702344,2.02936E+11,0.128465323,,,
117,Kodak Black ,ZEZE,402,103,1,16,2823276,260612786,2.02936E+11,0.128421192,,,
118,Lil Uzi Vert ,The Way Life Goes,834,21,4,0,1232419,260565170,2.02936E+11,0.128397728,,,
119,Khalid ,Better,519,14,7,0,1413872,259760668,2.02936E+11,0.128001297,,,
120,Sam Hunt ,Body Like A Back Road,703,0,12,0,790758,259538408,2.02936E+11,0.127891774,,,
121,A Boogie Wit da Hoodie ,Swervin,564,37,6,0,1154453,258648283,2.02936E+11,0.127453151,,,
122,Imagine Dragons ,Thunder,724,0,16,0,723572,257758821,2.02936E+11,0.127014854,,,
123,Tones And I ,Dance Monkey,539,23,6,0,1022885,256274759,2.02936E+11,0.126283558,,,
124,The Chainsmokers ,Don't Let Me Down,568,141,4,0,981448,251672744,2.02936E+11,0.12401584,,,
125,Polo G ,Pop Out,647,25,8,0,1046233,251658876,2.02936E+11,0.124009007,,,
126,Chris Brown ,No Guidance,550,53,3,1,1259463,250362082,2.02936E+11,0.12336999,,,
127,Drake ,Passionfruit,622,51,1,13,2811262,249576463,2.02936E+11,0.122982864,,,
128,Steve Lacy ,Dark Red,513,0,11,0,649193,249198471,2.02936E+11,0.122796602,,,
129,Juice WRLD ,Armed And Dangerous,756,10,9,0,1170042,248991383,2.02936E+11,0.122694556,,,
130,Camila Cabello ,Havana,484,99,2,6,1184798,247086289,2.02936E+11,0.12175579,,,
131,Morgan Wallen ,Wasted On You,687,10,1,1,1232815,246675467,2.02936E+11,0.121553351,,,
132,Drake ,Laugh Now Cry Later,449,89,2,20,2600470,246389835,2.02936E+11,0.121412601,,,
133,Bruno Mars ,That's What I Like,517,78,3,3,1236698,245642565,2.02936E+11,0.121044372,,,
134,Kendrick Lamar ,DNA.,451,69,2,15,3633524,242841173,2.02936E+11,0.11966394,,,
135,The Weeknd ,Save Your Tears,692,49,2,4,1465508,242055670,2.02936E+11,0.119276871,,,
136,Polo G ,Martin & Gina,702,0,21,0,553876,241128929,2.02936E+11,0.118820204,,,
137,The Weeknd ,Die For You,682,1,10,0,820834,240869086,2.02936E+11,0.118692162,,,
138,Eminem ,Godzilla,665,28,2,5,2573682,240271807,2.02936E+11,0.118397843,,,
139,Big Sean ,Bounce Back,531,79,3,7,1388544,239157563,2.02936E+11,0.117848781,,,
140,Steve Lacy ,Bad Habit,183,136,1,66,1691327,239087671,2.02936E+11,0.117814341,,,
141,Jack Harlow ,WHATS POPPIN,519,89,2,12,1248272,238356467,2.02936E+11,0.117454028,,,
142,XXXTENTACION ,Everybody Dies In Their Nightmares,772,3,6,0,2023396,238214306,2.02936E+11,0.117383976,,,
143,Desiigner ,Panda,518,109,1,6,1652864,237739871,2.02936E+11,0.117150191,,,
144,Shawn Mendes ,Señorita,400,77,1,26,1948638,236868842,2.02936E+11,0.116720977,,,
145,Fleetwood Mac ,Dreams  2004 Remaster,781,17,6,0,1032229,236167945,2.02936E+11,0.116375598,,,
146,Cardi B ,Bodak Yellow,489,79,2,6,1383846,235788390,2.02936E+11,0.116188567,,,
147,Bobby Helms ,Jingle Bell Rock,335,98,1,1,4516839,235335220,2.02936E+11,0.11596526,,,
148,Drake ,Jumpman,584,134,2,2,929883,235129660,2.02936E+11,0.115863967,,,
149,Trevor Daniel ,Falling,455,76,4,0,1101319,234818302,2.02936E+11,0.11571054,,,
150,Bad Bunny ,DÁKITI,596,42,1,6,1499819,234636216,2.02936E+11,0.115620814,,,
151,Rihanna ,Needed Me,494,154,2,3,1018495,233794067,2.02936E+11,0.115205831,,,
152,5 Seconds of Summer ,Youngblood,608,0,12,0,944436,233302902,2.02936E+11,0.114963802,,,
153,The Killers ,Mr. Brightside,877,0,35,0,407790,232977345,2.02936E+11,0.114803378,,,
154,Baby Keem ,family ties,487,29,3,1,1422177,232461442,2.02936E+11,0.114549159,,,
155,Doja Cat ,Woman,489,26,7,0,864796,232370353,2.02936E+11,0.114504273,,,
156,Arctic Monkeys ,505,692,0,13,0,510329,231800625,2.02936E+11,0.11422353,,,
157,Lil Nas X ,Old Town Road  Remix,317,95,1,30,3113535,229868299,2.02936E+11,0.113271345,,,
158,DJ Khaled ,I'm the One,332,112,2,29,2427536,227464533,2.02936E+11,0.112086851,,,
159,Drake ,Hotline Bling,555,150,1,28,1506243,226915487,2.02936E+11,0.111816299,,,
160,A Boogie Wit da Hoodie ,Drowning,591,0,18,0,674840,225834058,2.02936E+11,0.111283407,,,
161,XXXTENTACION ,changes,560,7,4,0,2449891,225063813,2.02936E+11,0.110903857,,,
162,Machine Gun Kelly ,my ex's best friend,596,3,9,0,891324,223702831,2.02936E+11,0.110233211,,,
163,Bazzi ,Mine,510,51,3,4,1336329,223577524,2.02936E+11,0.110171464,,,
164,Zedd ,The Middle,561,45,5,0,1159767,223370198,2.02936E+11,0.1100693,,,
165,Justin Bieber ,Sorry,466,131,1,53,1783498,222779216,2.02936E+11,0.109778084,,,
166,Conan Gray ,Heather,647,13,8,0,888848,222474626,2.02936E+11,0.109627993,,,
167,Post Malone ,Goodbyes (Feat. Young Thug),329,91,1,7,2323437,220243023,2.02936E+11,0.108528334,,,
168,XXXTENTACION ,Look At Me!,668,0,20,0,1035184,218130170,2.02936E+11,0.107487191,,,
169,Bad Bunny ,Me Porto Bonito,237,154,2,27,1947674,217545422,2.02936E+11,0.107199047,,,
170,J. Cole ,Wet Dreamz,1130,0,12,0,397175,217277232,2.02936E+11,0.107066892,,,
171,Andy Williams ,It's the Most Wonderful Time of the Year,342,72,3,2,3837208,214480695,2.02936E+11,0.105688853,,,
172,Jack Harlow ,WHATS POPPIN,444,77,6,0,1030175,212620780,2.02936E+11,0.10477235,,,
173,Lewis Capaldi ,Before You Go,672,0,39,0,558202,211623667,2.02936E+11,0.104281006,,,
174,Juice WRLD ,Lean Wit Me,671,1,8,0,992697,209772076,2.02936E+11,0.103368604,,,
175,Tame Impala ,The Less I Know The Better,893,0,103,0,323134,209554986,2.02936E+11,0.10326163,,,
176,G-Eazy,"Eazy  Me, Myself & I",513,148,2,12,997340,208480098,2.02936E+11,0.102731961,,,
177,Bad Bunny ,Tití Me Preguntó,237,151,3,11,1885979,207857104,2.02936E+11,0.102424971,,,
178,Twenty One Pilots ,Ride,708,65,4,0,824424,207848346,2.02936E+11,0.102420655,,,
179,Kendrick Lamar ,All The Stars,404,78,2,10,1794893,207519025,2.02936E+11,0.102258377,,,
180,Twenty One Pilots ,Stressed Out,706,90,3,2,835612,207439306,2.02936E+11,0.102219094,,,
181,Billie Eilish ,Happier Than Ever,459,30,3,12,1688659,207031225,2.02936E+11,0.102018005,,,
182,Aminé ,Caroline,537,77,6,0,861158,206635412,2.02936E+11,0.101822962,,,
183,6ix9ine ,FEFE,271,66,2,20,2188635,206222122,2.02936E+11,0.101619307,,,
184,Drake ,Too Good,359,150,2,19,1092508,205088227,2.02936E+11,0.101060562,,,
185,"Tyler, The Creator ",EARFQUAKE,526,34,1,7,2210014,204484344,2.02936E+11,0.100762988,,,
186,Khalid ,Love Lies,445,14,8,0,1088271,204075140,2.02936E+11,0.100561346,,,
187,Justin Bieber ,Peaches,312,58,1,10,2181089,203494777,2.02936E+11,0.100275363,,,
188,Kendrick Lamar ,Money Trees,726,0,38,0,481011,203375167,2.02936E+11,0.100216423,,,
189,Young Thug ,The London,401,49,1,3,2397579,203093189,2.02936E+11,0.100077474,,,
190,Future ,Low Life,604,0,11,0,670545,202769617,2.02936E+11,0.099918029,,,
191,Panic! At The Disco ,High Hopes,535,0,12,0,862030,201888489,2.02936E+11,0.099483839,,,
192,SAINt JHN ,Roses  Imanbek Remix,431,47,5,0,1009144,201135462,2.02936E+11,0.099112772,,,
193,Powfu ,death bed,478,7,9,0,797933,200371352,2.02936E+11,0.098736245,,,
194,Rae Sremmurd ,Black Beatles,384,82,1,21,2318636,200178133,2.02936E+11,0.098641033,,,
195,Rihanna ,Work,408,91,1,62,1843176,199973584,2.02936E+11,0.098540238,,,
196,Billie Eilish ,everything i wanted,435,42,1,4,2128318,199922212,2.02936E+11,0.098514924,,,
197,Jonas Brothers ,Sucker,414,30,1,11,3105964,199695180,2.02936E+11,0.09840305,,,
198,Rich The Kid ,Plug Walk,417,29,6,0,1341514,198858962,2.02936E+11,0.09799099,,,
199,Justin Bieber ,Love Yourself,458,138,1,24,1333001,198773307,2.02936E+11,0.097948782,,,
200,Migos ,Slippery,477,0,17,0,701264,197966789,2.02936E+11,0.097551357,,,
201,21 Savage ,a lot,412,24,2,1,1525801,197950103,2.02936E+11,0.097543135,,,
202,Flipp Dinero ,Leave Me Alone,418,12,10,0,997477,197450612,2.02936E+11,0.097297003,,,
203,Dan + Shay ,Tequila,723,0,48,0,483056,196958667,2.02936E+11,0.097054589,,,
204,Bryson Tiller ,Exchange,837,0,22,0,452260,196861471,2.02936E+11,0.097006694,,,
205,Twenty One Pilots ,Heathens,410,100,3,34,1168637,195918435,2.02936E+11,0.096541997,,,
206,Doja Cat ,Streets,477,57,3,12,1024708,195884808,2.02936E+11,0.096525427,,,
207,Wham! ,Last Christmas,315,56,4,0,3525042,195381527,2.02936E+11,0.096277427,,,
208,Jack Harlow ,First Class,231,77,1,11,5962326,195314542,2.02936E+11,0.096244419,,,
209,Fetty Wap ,Trap Queen,622,159,1,31,844118,194792972,2.02936E+11,0.095987407,,,
210,The Weeknd ,Can't Feel My Face,543,142,1,52,1053578,194406860,2.02936E+11,0.095797144,,,
211,Bruno Mars ,Leave The Door Open,400,52,2,3,1765144,193296752,2.02936E+11,0.09525012,,,
212,Kodak Black ,Roll In Peace,518,0,21,0,985417,192647458,2.02936E+11,0.09493017,,,
213,The Neighbourhood ,Daddy Issues,705,0,50,0,359758,192551331,2.02936E+11,0.094882802,,,
214,Morgan Wallen ,More Than My Hometown,697,0,18,0,698510,191448082,2.02936E+11,0.094339158,,,
215,Gucci Mane ,Wake Up in the Sky,340,14,6,0,1070430,189926403,2.02936E+11,0.093589326,,,
216,Marshmello ,Silence,468,16,7,0,958742,189144242,2.02936E+11,0.093203904,,,
217,Michael Bublé ,It's Beginning to Look a Lot Like Christmas,357,38,3,1,2978474,187463596,2.02936E+11,0.092375738,,,
218,Maroon 5 ,Girls Like You,383,20,6,0,1263800,186579571,2.02936E+11,0.09194012,,,
219,Justin Bieber ,What Do You Mean?,413,153,1,24,1358577,185795808,2.02936E+11,0.091553908,,,
220,The Weeknd ,Call Out My Name,471,21,1,6,3490888,185191010,2.02936E+11,0.091255884,,,
221,BØRNS ,Electric Love,737,0,39,0,460526,185017224,2.02936E+11,0.091170248,,,
222,NF ,Let You Down,480,4,9,0,829153,184436690,2.02936E+11,0.090884181,,,
223,Fifth Harmony ,Work from Home,420,116,3,21,1004803,184122003,2.02936E+11,0.090729114,,,
224,Drake ,Controlla,400,93,4,0,1020036,183609837,2.02936E+11,0.090476735,,,
225,Morgan Wallen ,Chasin' You,687,0,47,0,412670,183121183,2.02936E+11,0.090235943,,,
226,Ariana Grande ,Santa Tell Me,348,26,5,0,2847060,182490361,2.02936E+11,0.089925095,,,
227,Ed Sheeran ,Thinking out Loud,792,118,1,3,665278,182153495,2.02936E+11,0.089759099,,,
228,Pop Smoke ,What You Know Bout Love,422,44,5,0,945575,182024316,2.02936E+11,0.089695444,,,
229,Lil Mosey ,Noticed,531,0,17,0,836165,181647697,2.02936E+11,0.089509859,,,
230,Mike Posner ,I Took A Pill In Ibiza  Seeb Remix,442,91,2,1,912432,181197216,2.02936E+11,0.089287877,,,
231,Ed Sheeran ,Perfect,488,0,11,0,931316,180975541,2.02936E+11,0.089178643,,,
232,Ariana Grande ,no tears left to cry,384,5,6,0,1783330,180563889,2.02936E+11,0.088975795,,,
233,Chance the Rapper ,No Problem,568,0,13,0,695093,180053419,2.02936E+11,0.088724253,,,
234,Mustard ,Pure Water,396,0,11,0,905428,180042907,2.02936E+11,0.088719073,,,
235,Dan + Shay ,Speechless,662,0,67,0,373102,179301739,2.02936E+11,0.08835385,,,
236,The Chainsmokers ,Roses,520,94,5,0,772979,178699372,2.02936E+11,0.088057024,,,
237,Khalid ,Talk,341,42,5,0,1284719,178662883,2.02936E+11,0.088039043,,,
238,G,Eazy  No Limit,373,79,2,8,1151926,178639729,2.02936E+11,0.088027634,,,
239,21 Savage ,X,555,0,14,0,597896,178576237,2.02936E+11,0.087996347,,,
240,Surf Curse ,Freaks,556,0,29,0,466842,178535641,2.02936E+11,0.087976343,,,
241,Demi Lovato ,Sorry Not Sorry,379,35,6,0,1009557,177157747,2.02936E+11,0.087297363,,,
242,Billie Eilish ,bury a friend,364,16,3,2,2139874,176834584,2.02936E+11,0.087138119,,,
243,Kodak Black ,Tunnel Vision,396,38,5,0,1173162,176688536,2.02936E+11,0.087066152,,,
244,Surfaces ,Sunday Best,412,0,13,0,751886,176430872,2.02936E+11,0.086939184,,,
245,Sleepy Hallow ,2055,454,12,7,0,826350,176244822,2.02936E+11,0.086847504,,,
246,Dan + Shay ,"10,000 Hours",465,21,2,3,2073482,175930281,2.02936E+11,0.086692509,,,
247,Migos ,Stir Fry,336,60,2,12,1499177,175630677,2.02936E+11,0.086544874,,,
248,A Boogie Wit da Hoodie ,Look Back At It,366,22,8,0,1146596,175483878,2.02936E+11,0.086472537,,,
249,Justin Bieber ,Intentions,328,42,2,1,1901883,175135180,2.02936E+11,0.08630071,,,
250,Post Malone ,Go Flex,673,0,19,0,687250,174710816,2.02936E+11,0.086091598,,,
251,The Walters ,I Love You So,431,38,7,0,683985,174547021,2.02936E+11,0.086010885,,,
252,Ed Sheeran ,Bad Habits,350,49,7,0,1259918,174488164,2.02936E+11,0.085981883,,,
253,A$AP Ferg ,Plain Jane,408,22,6,0,929255,174255086,2.02936E+11,0.08586703,,,
254,Famous Dex ,PICK IT UP,421,0,13,0,800864,173990426,2.02936E+11,0.085736614,,,
255,Major Lazer ,Lean On,588,142,2,7,681007,173817845,2.02936E+11,0.085651572,,,
256,Elton John ,Cold Heart  PNAU Remix,408,1,9,0,683288,173542648,2.02936E+11,0.085515964,,,
257,Dua Lipa ,New Rules,399,0,11,0,783946,173328947,2.02936E+11,0.08541066,,,
258,Ed Sheeran ,Shivers,399,6,6,0,980767,173225595,2.02936E+11,0.085359731,,,
259,Mac Miller ,The Spins,612,0,54,0,369869,173209349,2.02936E+11,0.085351726,,,
260,Adele ,Easy On Me,246,73,1,29,5435431,173180228,2.02936E+11,0.085337376,,,
261,Ariana Grande ,positions,333,69,1,25,2805107,172797966,2.02936E+11,0.08514901,,,
262,Tate McRae ,you broke me first,503,0,16,0,664700,172703722,2.02936E+11,0.08510257,,,
263,Kodak Black ,Super Gremlin,346,117,2,9,1054999,171909115,2.02936E+11,0.084711014,,,
264,Lil Nas X ,Panini,249,67,1,2,2147076,171512571,2.02936E+11,0.084515611,,,
265,Drake ,Way 2 Sexy,280,68,1,12,4962771,170202629,2.02936E+11,0.083870115,,,
266,Roddy Ricch ,High Fashion,354,27,4,0,1118927,169149991,2.02936E+11,0.083351411,,,
267,Ed Sheeran ,I Don't Care,323,54,1,7,3107778,168839409,2.02936E+11,0.083198367,,,
268,Billie Eilish ,ocean eyes,623,0,61,0,410592,168543006,2.02936E+11,0.083052309,,,
269,"Tyler, The Creator ",See You Again,565,0,24,0,499844,168256802,2.02936E+11,0.082911278,,,
270,Migos ,Walk It Talk It,358,14,3,1,1584838,168214275,2.02936E+11,0.082890322,,,
271,Lady Gaga ,Shallow,403,7,6,0,1310071,167883840,2.02936E+11,0.082727494,,,
272,Drake ,Jimmy Cooks,195,107,1,1,3642078,166499191,2.02936E+11,0.082045186,,,
273,Doja Cat ,Say So,308,51,2,1,1262821,165898476,2.02936E+11,0.081749174,,,
